
step 0: train loss 11.0016, val loss 11.0015
iter 425: loss 3.5885, time 440.92ms, mfu 7.31%
iter 426: loss 3.5711, time 340.87ms, mfu 7.40%
iter 427: loss 3.6670, time 428.60ms, mfu 7.32%
iter 428: loss 3.6569, time 341.90ms, mfu 7.41%
iter 429: loss 3.5696, time 432.39ms, mfu 7.31%
iter 430: loss 3.6284, time 339.74ms, mfu 7.41%
iter 431: loss 3.6709, time 435.13ms, mfu 7.31%
iter 432: loss 3.6276, time 341.19ms, mfu 7.40%
iter 433: loss 3.7029, time 427.35ms, mfu 7.32%
iter 434: loss 3.6235, time 342.37ms, mfu 7.41%
iter 435: loss 3.6063, time 432.85ms, mfu 7.31%
iter 436: loss 3.7197, time 335.93ms, mfu 7.42%
iter 437: loss 3.6677, time 430.91ms, mfu 7.33%
iter 438: loss 3.7102, time 342.75ms, mfu 7.41%
iter 439: loss 3.6641, time 432.73ms, mfu 7.32%
iter 440: loss 3.5934, time 336.28ms, mfu 7.42%
iter 441: loss 3.6530, time 436.41ms, mfu 7.32%
iter 442: loss 3.6515, time 338.80ms, mfu 7.42%
iter 443: loss 3.6980, time 432.47ms, mfu 7.33%
iter 444: loss 3.6167, time 341.05ms, mfu 7.42%
iter 445: loss 3.6091, time 437.47ms, mfu 7.32%
iter 446: loss 3.5605, time 336.31ms, mfu 7.42%
iter 447: loss 3.6911, time 429.93ms, mfu 7.33%
iter 448: loss 3.5261, time 343.05ms, mfu 7.41%
iter 449: loss 3.6028, time 430.69ms, mfu 7.32%
iter 450: loss 3.7199, time 336.20ms, mfu 7.43%
iter 451: loss 3.6611, time 440.00ms, mfu 7.32%
iter 452: loss 3.6256, time 340.78ms, mfu 7.41%
iter 453: loss 3.5884, time 429.46ms, mfu 7.32%
iter 454: loss 3.5848, time 339.49ms, mfu 7.42%
iter 455: loss 3.7259, time 432.56ms, mfu 7.32%
iter 456: loss 3.5774, time 338.01ms, mfu 7.42%
iter 457: loss 3.6627, time 431.24ms, mfu 7.33%
iter 458: loss 3.6252, time 343.84ms, mfu 7.41%
iter 459: loss 3.6234, time 433.61ms, mfu 7.32%
