
step 0: train loss 11.0016, val loss 11.0015
iter 347: loss 3.6929, time 1275.43ms, mfu 2.20%
iter 348: loss 3.7001, time 1279.29ms, mfu 2.20%
iter 349: loss 3.7769, time 1273.07ms, mfu 2.20%
iter 350: loss 3.6915, time 1273.42ms, mfu 2.20%
iter 351: loss 3.7770, time 1269.73ms, mfu 2.20%
iter 352: loss 3.7340, time 1276.81ms, mfu 2.20%
iter 353: loss 3.6935, time 1272.48ms, mfu 2.20%
iter 354: loss 3.7222, time 1274.20ms, mfu 2.20%
iter 355: loss 3.6864, time 1275.59ms, mfu 2.20%
iter 356: loss 3.6597, time 1279.63ms, mfu 2.20%
iter 357: loss 3.7304, time 1274.91ms, mfu 2.20%
iter 358: loss 3.6987, time 1278.62ms, mfu 2.20%
iter 359: loss 3.7027, time 1275.50ms, mfu 2.20%
iter 360: loss 3.6937, time 1273.63ms, mfu 2.20%
iter 361: loss 3.7955, time 1275.43ms, mfu 2.20%
iter 362: loss 3.7878, time 1276.32ms, mfu 2.20%
iter 363: loss 3.6566, time 1271.61ms, mfu 2.20%
iter 364: loss 3.6670, time 1272.54ms, mfu 2.20%
iter 365: loss 3.7359, time 1273.79ms, mfu 2.20%
iter 366: loss 3.6434, time 1275.00ms, mfu 2.20%
iter 367: loss 3.7190, time 1273.52ms, mfu 2.20%
iter 368: loss 3.6661, time 1277.88ms, mfu 2.20%
iter 369: loss 3.7352, time 1273.81ms, mfu 2.20%
iter 370: loss 3.7598, time 1275.44ms, mfu 2.20%
iter 371: loss 3.5993, time 1273.85ms, mfu 2.20%
iter 372: loss 3.6871, time 1275.23ms, mfu 2.20%
iter 373: loss 3.6779, time 1272.59ms, mfu 2.20%
iter 374: loss 3.7033, time 1276.03ms, mfu 2.20%
iter 375: loss 3.7792, time 1271.96ms, mfu 2.20%
iter 376: loss 3.6268, time 1276.38ms, mfu 2.20%
iter 377: loss 3.6554, time 1289.33ms, mfu 2.20%
iter 378: loss 3.6401, time 1277.09ms, mfu 2.20%
iter 379: loss 3.6652, time 1274.53ms, mfu 2.20%
iter 380: loss 3.7139, time 1275.39ms, mfu 2.20%
iter 381: loss 3.7170, time 1272.09ms, mfu 2.20%
iter 382: loss 3.6880, time 1274.87ms, mfu 2.20%
iter 383: loss 3.6633, time 1277.49ms, mfu 2.20%
iter 384: loss 3.7328, time 1272.50ms, mfu 2.20%
iter 385: loss 3.6748, time 1272.97ms, mfu 2.20%
iter 386: loss 3.7238, time 1275.01ms, mfu 2.20%
iter 387: loss 3.6688, time 1274.43ms, mfu 2.20%
iter 388: loss 3.6596, time 1272.96ms, mfu 2.20%
iter 389: loss 3.7321, time 1276.77ms, mfu 2.20%
iter 390: loss 3.6788, time 1275.53ms, mfu 2.20%
iter 391: loss 3.6311, time 1274.65ms, mfu 2.20%
iter 392: loss 3.6493, time 1275.48ms, mfu 2.20%
iter 393: loss 3.6746, time 1271.70ms, mfu 2.20%
iter 394: loss 3.6344, time 1275.00ms, mfu 2.20%
iter 395: loss 3.6792, time 1277.16ms, mfu 2.20%
iter 396: loss 3.7056, time 1273.94ms, mfu 2.20%
iter 397: loss 3.6873, time 1274.58ms, mfu 2.20%
iter 398: loss 3.7219, time 1277.78ms, mfu 2.20%
iter 399: loss 3.7026, time 1273.30ms, mfu 2.20%
iter 400: loss 3.6118, time 1273.60ms, mfu 2.20%
iter 401: loss 3.7697, time 1275.09ms, mfu 2.20%
iter 402: loss 3.6634, time 1272.43ms, mfu 2.20%
iter 403: loss 3.6907, time 1270.73ms, mfu 2.20%
iter 404: loss 3.7171, time 1271.56ms, mfu 2.20%
iter 405: loss 3.7360, time 1277.39ms, mfu 2.20%
iter 406: loss 3.6397, time 1274.38ms, mfu 2.20%
iter 407: loss 3.5862, time 1276.10ms, mfu 2.20%
iter 408: loss 3.6533, time 1273.29ms, mfu 2.20%
iter 409: loss 3.6768, time 1277.07ms, mfu 2.20%
iter 410: loss 3.6541, time 1272.92ms, mfu 2.20%
iter 411: loss 3.6347, time 1274.24ms, mfu 2.20%
iter 412: loss 3.7243, time 1274.74ms, mfu 2.20%
iter 413: loss 3.6491, time 1271.69ms, mfu 2.20%
iter 414: loss 3.6116, time 1271.74ms, mfu 2.20%
iter 415: loss 3.5817, time 1277.32ms, mfu 2.20%
iter 416: loss 3.6413, time 1278.30ms, mfu 2.20%
iter 417: loss 3.7002, time 1274.63ms, mfu 2.20%
iter 418: loss 3.6583, time 1277.35ms, mfu 2.20%
iter 419: loss 3.5917, time 1272.65ms, mfu 2.20%
iter 420: loss 3.7169, time 1275.05ms, mfu 2.20%
iter 421: loss 3.5925, time 1272.81ms, mfu 2.20%
iter 422: loss 3.6858, time 1276.75ms, mfu 2.20%
iter 423: loss 3.6865, time 1273.31ms, mfu 2.20%
iter 424: loss 3.7011, time 1291.59ms, mfu 2.20%
iter 425: loss 3.5859, time 1271.80ms, mfu 2.20%
iter 426: loss 3.5679, time 1275.13ms, mfu 2.20%
iter 427: loss 3.6698, time 1274.42ms, mfu 2.20%
iter 428: loss 3.6540, time 1280.32ms, mfu 2.20%
iter 429: loss 3.5706, time 1267.05ms, mfu 2.20%
iter 430: loss 3.6337, time 1273.35ms, mfu 2.20%
iter 431: loss 3.6744, time 1272.40ms, mfu 2.20%
iter 432: loss 3.6279, time 1275.71ms, mfu 2.20%
iter 433: loss 3.7074, time 1273.26ms, mfu 2.20%
iter 434: loss 3.6262, time 1276.90ms, mfu 2.20%
iter 435: loss 3.6106, time 1273.57ms, mfu 2.20%
iter 436: loss 3.7232, time 1273.93ms, mfu 2.20%
iter 437: loss 3.6630, time 1270.35ms, mfu 2.20%
iter 438: loss 3.7057, time 1274.72ms, mfu 2.20%
iter 439: loss 3.6614, time 1272.64ms, mfu 2.20%
iter 440: loss 3.5900, time 1273.35ms, mfu 2.20%
iter 441: loss 3.6507, time 1277.91ms, mfu 2.20%
iter 442: loss 3.6498, time 1274.88ms, mfu 2.20%
iter 443: loss 3.6976, time 1270.69ms, mfu 2.20%
iter 444: loss 3.6137, time 1275.96ms, mfu 2.20%
