
step 0: train loss 11.0016, val loss 11.0015
iter 417: loss 3.7018, time 423.07ms, mfu 7.58%
iter 418: loss 3.6603, time 327.12ms, mfu 7.68%
iter 419: loss 3.5936, time 422.60ms, mfu 7.58%
iter 420: loss 3.7223, time 323.86ms, mfu 7.69%
iter 421: loss 3.5980, time 416.96ms, mfu 7.59%
iter 422: loss 3.6893, time 330.15ms, mfu 7.68%
iter 423: loss 3.6886, time 423.25ms, mfu 7.58%
iter 424: loss 3.7057, time 334.70ms, mfu 7.66%
iter 425: loss 3.5905, time 424.89ms, mfu 7.55%
iter 426: loss 3.5663, time 322.50ms, mfu 7.67%
iter 427: loss 3.6716, time 417.62ms, mfu 7.57%
iter 428: loss 3.6538, time 328.74ms, mfu 7.67%
iter 429: loss 3.5696, time 428.37ms, mfu 7.56%
iter 430: loss 3.6275, time 323.27ms, mfu 7.67%
iter 431: loss 3.6716, time 424.69ms, mfu 7.56%
iter 432: loss 3.6256, time 326.02ms, mfu 7.67%
iter 433: loss 3.7050, time 421.45ms, mfu 7.56%
iter 434: loss 3.6212, time 330.78ms, mfu 7.66%
iter 435: loss 3.6076, time 416.77ms, mfu 7.56%
iter 436: loss 3.7211, time 322.42ms, mfu 7.68%
iter 437: loss 3.6635, time 424.06ms, mfu 7.57%
iter 438: loss 3.7077, time 326.47ms, mfu 7.67%
iter 439: loss 3.6604, time 416.23ms, mfu 7.58%
iter 440: loss 3.5925, time 328.85ms, mfu 7.68%
iter 441: loss 3.6527, time 421.44ms, mfu 7.57%
iter 442: loss 3.6506, time 321.43ms, mfu 7.69%
iter 443: loss 3.6965, time 425.49ms, mfu 7.58%
iter 444: loss 3.6158, time 325.95ms, mfu 7.68%
iter 445: loss 3.6106, time 418.99ms, mfu 7.58%
iter 446: loss 3.5593, time 328.23ms, mfu 7.68%
iter 447: loss 3.6937, time 417.57ms, mfu 7.58%
iter 448: loss 3.5292, time 322.06ms, mfu 7.70%
iter 449: loss 3.6025, time 422.86ms, mfu 7.59%
iter 450: loss 3.7209, time 327.14ms, mfu 7.69%
iter 451: loss 3.6652, time 416.17ms, mfu 7.59%
iter 452: loss 3.6289, time 328.55ms, mfu 7.69%
iter 453: loss 3.5872, time 424.40ms, mfu 7.58%
iter 454: loss 3.5851, time 324.15ms, mfu 7.69%
iter 455: loss 3.7303, time 422.32ms, mfu 7.58%
iter 456: loss 3.5866, time 326.71ms, mfu 7.68%
iter 457: loss 3.6667, time 421.54ms, mfu 7.58%
iter 458: loss 3.6361, time 326.68ms, mfu 7.68%
iter 459: loss 3.6293, time 422.36ms, mfu 7.58%
