
step 0: train loss 4.5682, val loss 4.4975
iter 399: loss 2.0299, time 144.57ms, mfu 14.42%
iter 400: loss 2.0367, time 141.71ms, mfu 14.42%
iter 401: loss 1.8618, time 140.47ms, mfu 14.44%
iter 402: loss 2.0286, time 141.12ms, mfu 14.44%
iter 403: loss 1.7772, time 141.21ms, mfu 14.45%
iter 404: loss 1.7215, time 142.29ms, mfu 14.44%
iter 405: loss 1.9256, time 141.75ms, mfu 14.44%
iter 406: loss 1.9081, time 143.99ms, mfu 14.42%
iter 407: loss 1.9173, time 140.22ms, mfu 14.43%
iter 408: loss 1.9170, time 144.06ms, mfu 14.41%
iter 409: loss 2.2000, time 138.75ms, mfu 14.44%
iter 410: loss 1.9268, time 141.29ms, mfu 14.45%
iter 411: loss 1.8223, time 140.59ms, mfu 14.46%
iter 412: loss 2.1597, time 141.16ms, mfu 14.46%
iter 413: loss 1.8451, time 143.49ms, mfu 14.44%
iter 414: loss 2.0100, time 143.60ms, mfu 14.42%
iter 415: loss 1.8770, time 139.88ms, mfu 14.44%
iter 416: loss 1.8243, time 142.97ms, mfu 14.43%
iter 417: loss 1.7267, time 140.41ms, mfu 14.44%
iter 418: loss 1.7927, time 141.75ms, mfu 14.44%
iter 419: loss 1.8881, time 142.79ms, mfu 14.43%
iter 420: loss 1.8951, time 143.00ms, mfu 14.42%
iter 421: loss 1.9291, time 141.40ms, mfu 14.42%
iter 422: loss 1.6881, time 142.08ms, mfu 14.42%
iter 423: loss 1.8763, time 142.61ms, mfu 14.41%
iter 424: loss 1.8733, time 142.04ms, mfu 14.41%
iter 425: loss 1.8827, time 140.58ms, mfu 14.43%
iter 426: loss 1.7636, time 142.84ms, mfu 14.42%
iter 427: loss 1.9077, time 142.83ms, mfu 14.41%
iter 428: loss 1.9156, time 140.66ms, mfu 14.42%
iter 429: loss 1.7623, time 141.01ms, mfu 14.43%
iter 430: loss 1.8426, time 141.39ms, mfu 14.43%
iter 431: loss 1.9507, time 142.36ms, mfu 14.43%
iter 432: loss 2.0159, time 140.12ms, mfu 14.44%
iter 433: loss 1.9103, time 143.07ms, mfu 14.43%
iter 434: loss 1.9673, time 141.60ms, mfu 14.43%
iter 435: loss 1.5949, time 141.56ms, mfu 14.43%
iter 436: loss 2.0774, time 140.52ms, mfu 14.45%
iter 437: loss 1.8287, time 141.51ms, mfu 14.45%
iter 438: loss 1.9693, time 143.07ms, mfu 14.43%
iter 439: loss 1.8535, time 140.53ms, mfu 14.45%
iter 440: loss 1.7983, time 141.83ms, mfu 14.44%
iter 441: loss 1.5608, time 144.19ms, mfu 14.42%
iter 442: loss 1.7042, time 142.40ms, mfu 14.41%
iter 443: loss 1.8534, time 140.98ms, mfu 14.42%
iter 444: loss 1.8535, time 140.38ms, mfu 14.44%
iter 445: loss 2.0021, time 144.04ms, mfu 14.41%
iter 446: loss 1.7546, time 140.91ms, mfu 14.43%
iter 447: loss 1.6936, time 140.16ms, mfu 14.44%
iter 448: loss 1.7652, time 143.67ms, mfu 14.42%
iter 449: loss 1.7454, time 141.56ms, mfu 14.43%
iter 450: loss 1.8064, time 140.12ms, mfu 14.44%
iter 451: loss 1.6886, time 142.99ms, mfu 14.43%
iter 452: loss 1.9198, time 141.85ms, mfu 14.43%
iter 453: loss 1.9586, time 140.34ms, mfu 14.44%
